Gene stable ID	Gene stable ID version	Gene name	Gene description	Chromosome/scaffold name
ENSG00000290825	ENSG00000290825.2	DDX11L16	DEAD/H-box helicase 11 like 16 (pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:727856]	1
ENSG00000223972	ENSG00000223972.6	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37102]	1
ENSG00000310526	ENSG00000310526.1	WASH7P	WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]	1
ENSG00000227232	ENSG00000227232.6	WASH7P	WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]	1
ENSG00000278267	ENSG00000278267.1	MIR6859-1	microRNA 6859-1 [Source:HGNC Symbol;Acc:HGNC:50039]	1
ENSG00000243485	ENSG00000243485.6	MIR1302-2HG	MIR1302-2 host gene [Source:HGNC Symbol;Acc:HGNC:52482]	1
ENSG00000284332	ENSG00000284332.1	MIR1302-2	microRNA 1302-2 [Source:HGNC Symbol;Acc:HGNC:35294]	1
ENSG00000237613	ENSG00000237613.3	FAM138A	family with sequence similarity 138 member A [Source:HGNC Symbol;Acc:HGNC:32334]	1
ENSG00000308361	ENSG00000308361.1		novel transcript	1
ENSG00000290826	ENSG00000290826.2		novel transcript	1
ENSG00000268020	ENSG00000268020.3	OR4G4P	olfactory receptor family 4 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:14822]	1
ENSG00000240361	ENSG00000240361.3	OR4G11P	olfactory receptor family 4 subfamily G member 11 pseudogene [Source:HGNC Symbol;Acc:HGNC:31276]	1
ENSG00000186092	ENSG00000186092.7	OR4F5	olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]	1
ENSG00000241860	ENSG00000241860.8		novel transcript	1
ENSG00000239945	ENSG00000239945.1		novel transcript	1
ENSG00000308314	ENSG00000308314.1		novel transcript	1
ENSG00000233750	ENSG00000233750.3	CICP27	capicua transcriptional repressor pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:48835]	1
ENSG00000308579	ENSG00000308579.1		novel transcript	1
ENSG00000268903	ENSG00000268903.1		novel pseudogene	1
ENSG00000269981	ENSG00000269981.1		novel pseudogene	1
ENSG00000239906	ENSG00000239906.1		novel transcript	1
ENSG00000310528	ENSG00000310528.1		novel transcript	1
ENSG00000222623	ENSG00000222623.1	RNU6-1100P	RNA, U6 small nuclear 1100, pseudogene [Source:HGNC Symbol;Acc:HGNC:48063]	1
ENSG00000241599	ENSG00000241599.1		novel transcript	1
ENSG00000308415	ENSG00000308415.1	DDX11L2	DEAD/H-box helicase 11 like 2 (pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:84771]	1
ENSG00000310527	ENSG00000310527.1	WASH9P	WAS protein family homolog 9, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:100996442]	1
ENSG00000279928	ENSG00000279928.2	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:55080]	1
ENSG00000279457	ENSG00000279457.4	WASH9P	WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]	1
ENSG00000273874	ENSG00000273874.1	MIR6859-2	microRNA 6859-2 [Source:HGNC Symbol;Acc:HGNC:49954]	1
ENSG00000308625	ENSG00000308625.1		novel transcript	1
ENSG00000308544	ENSG00000308544.1		novel transcript	1
ENSG00000292994	ENSG00000292994.2		novel transcript	1
ENSG00000228463	ENSG00000228463.11		ribosomal protein L23a (RPL23A) pseudogene	1
ENSG00000306775	ENSG00000306775.1		novel transcript	1
ENSG00000286448	ENSG00000286448.2		novel transcript	1
ENSG00000236679	ENSG00000236679.2	RPL23AP24	ribosomal protein L23a pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:36176]	1
ENSG00000236601	ENSG00000236601.3		novel transcript	1
ENSG00000290385	ENSG00000290385.2		novel transcript	1
ENSG00000269732	ENSG00000269732.1	WBP1LP7	WBP1L pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43955]	1
ENSG00000284733	ENSG00000284733.2	OR4F29	olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]	1
ENSG00000237094	ENSG00000237094.13		pseudogene similar to part of septin 14 SEPT14	1
ENSG00000233653	ENSG00000233653.3	CICP7	capicua transcriptional repressor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:37756]	1
ENSG00000250575	ENSG00000250575.1		novel pseudogene	1
